27
0 $ 186 49 -1 -1 
1 A 64 44 -1 -1 
2 B 13 32 -1 -1 
3 C 22 36 -1 -1 
4 D 32 38 -1 -1 
5 E 103 47 -1 -1 
6 F 21 35 -1 -1 
7 G 15 32 -1 -1 
8 H 47 40 -1 -1 
9 I 57 42 -1 -1 
10 J 1 27 -1 -1 
11 K 5 30 -1 -1 
12 L 32 38 -1 -1 
13 M 20 35 -1 -1 
14 N 57 42 -1 -1 
15 O 63 43 -1 -1 
16 P 15 33 -1 -1 
17 Q 1 27 -1 -1 
18 R 48 41 -1 -1 
19 S 51 41 -1 -1 
20 T 80 45 -1 -1 
21 U 23 36 -1 -1 
22 V 8 31 -1 -1 
23 W 18 34 -1 -1 
24 X 1 28 -1 -1 
25 Y 16 33 -1 -1 
26 Z 1 28 -1 -1 
27 - 2 29 10 17 
28 - 2 29 24 26 
29 - 4 30 27 28 
30 - 9 31 11 29 
31 - 17 34 22 30 
32 - 28 37 2 7 
33 - 31 37 16 25 
34 - 35 39 23 31 
35 - 41 39 6 13 
36 - 45 40 3 21 
37 - 59 43 32 33 
38 - 64 44 4 12 
39 - 76 45 34 35 
40 - 92 46 8 36 
41 - 99 46 18 19 
42 - 114 47 9 14 
43 - 122 48 15 37 
44 - 128 48 1 38 
45 - 156 49 20 39 
46 - 191 50 40 41 
47 - 217 50 5 42 
48 - 250 51 43 44 
49 - 342 51 0 45 
50 - 408 52 46 47 
51 - 592 52 48 49 
52 - 1000 -1 50 51 
